Year,Month,Three_Component_Index,News_Based_Policy_Uncert_Index
2011,12,189.3983598,183.0886071
2012,1,178.2865293,154.4180208
2012,2,149.6370842,119.43544
2012,3,137.5531149,98.74810531
2012,4,136.5966873,96.96967117
2012,5,158.5619837,135.8798511
2012,6,194.6105712,197.4609789
2012,7,184.8797016,180.8035422
2012,8,152.3534662,142.9553013
2012,9,175.277054,182.1071855
2012,10,165.9445163,166.1284041
2012,11,187.4906369,205.8646602
2012,12,192.8251814,214.9519488
2013,1,157.5333038,199.3589422
2013,2,114.6541206,128.5625134
2013,3,124.9408187,146.1158616
2013,4,118.7104882,135.4405916
2013,5,104.3045486,109.0280432
2013,6,114.6161372,126.6258694
2013,7,94.03990942,91.43749003
2013,8,102.7706727,108.7583782
2013,9,144.4017806,179.8897364
2013,10,171.0222463,225.3733071
2013,11,89.90614158,89.91517307
2013,12,104.6021181,115.0207376
2014,1,93.50073992,107.7051288
2014,2,88.98534636,93.36929826
2014,3,93.46759412,101.018732
2014,4,91.11802009,96.99343089
2014,5,90.3922459,102.0150429
2014,6,81.00762237,85.96846752
2014,7,76.64489329,78.50598746
2014,8,71.2621405,63.87733632
2014,9,84.33692211,86.21660154
2014,10,100.2066563,113.3345834
2014,11,88.56003209,93.18594253
2014,12,85.18750047,87.41532796
2015,1,117.1606288,120.54423
2015,2,100.3197357,87.60946942
2015,3,105.2181346,95.97896261
2015,4,109.6437948,103.544957
2015,5,101.0189428,102.3186965
2015,6,108.9527949,115.8802867
2015,7,98.91843157,98.73479281
2015,8,129.6953212,156.5036298
2015,9,138.7216868,171.9326776
2015,10,102.8940237,110.7019377
2015,11,92.10043936,89.58371044
2015,12,99.34261426,101.9634329
2016,1,119.0151948,154.8573306
2016,2,114.6245558,148.3217888
2016,3,104.1908105,130.4901593
2016,4,84.25133883,96.41341581
2016,5,82.04126671,96.22233274
2016,6,162.6291173,233.956103
2016,7,121.9646477,164.4584005
2016,8,91.82890313,106.8856228
2016,9,79.80896353,86.34353838
2016,10,92.51784826,108.0641248
2016,11,169.3778224,254.1013278
2016,12,115.1520509,161.4247862
2017,1,134.8695271,195.0406301
2017,2,133.3314818,177.777717
2017,3,119.7761694,154.6096951
2017,4,121.5705943,157.6765228
2017,5,104.1709719,129.8880577
2017,6,98.75896093,120.638462
2017,7,110.7535972,141.138335
2017,8,109.1782724,137.8597036
2017,9,96.7507657,116.6200175
2017,10,102.1605712,125.8658439
2017,11,94.48960618,111.2826865
2017,12,111.4972254,140.3501816
2018,1,123.6515559,160.9672048
2018,2,94.00742477,114.7555583
2018,3,136.3343196,187.0958899
2018,4,108.2137424,139.0353864
2018,5,124.9366486,162.2766973
2018,6,108.6273959,134.402771
2018,7,133.0862533,176.2050781
2018,8,99.13561529,114.9613709
2018,9,102.6601995,120.9851907
2018,10,111.5125666,136.1146533
2018,11,130.2238681,164.9422023
2018,12,166.2868055,226.5768878
2019,1,201.0320131,284.1359377
2019,2,106.9006639,123.639288
2019,3,140.2473706,180.6316997
2019,4,98.73670429,109.6863735
2019,5,122.5387647,160.858154
2019,6,150.11678,207.9913723
2019,7,149.9728958,207.7454617
2019,8,190.4632314,282.522931
2019,9,134.3617847,186.6406966
2019,10,118.4882165,159.5113928
2019,11,131.7507054,170.4803411
2019,12,143.4672465,190.5049253
2020,1,131.3910878,164.7553058
2020,2,160.5156498,216.1912124
2020,3,283.1472059,425.7791698
2020,4,268.6163883,400.9447432
2020,5,350.4598174,503.9633367
2020,6,231.2597978,300.2401727
2020,7,305.9635539,427.9153661
2020,8,224.4263667,263.471434
2020,9,218.0582922,252.5878427
2020,10,249.1736154,305.7666267
2020,11,246.7071012,327.609605
2020,12,246.1261038,326.6166301
2021,1,207.91242,261.3061328
2021,2,151.9328795,187.5196161
2021,3,139.8012047,166.7855324
2021,4,124.8895173,141.3001663
2021,5,147.0158401,172.0962089
2021,6,133.5788741,149.1312694
2021,7,152.9109189,182.1714095
2021,8,133.8145486,157.195214
2021,9,142.0676314,171.3004477
2021,10,121.9515018,136.920239
2021,11,151.2868391,175.8728799
2021,12,166.2426549,201.4336653
2022,1,139.2375842,155.279659
2022,2,138.0535272,140.4425019
2022,3,190.0124135,229.2447417
2022,4,154.6619563,168.8277466
2022,5,168.0008251,190.4530179
2022,6,145.9759362,152.810574
2022,7,186.9214101,222.7899376
2022,8,163.2398153,183.0348268
2022,9,174.1834749,201.7384894
2022,10,177.4231265,207.2753348
2022,11,171.7372569,210.3748942
2022,12,136.4331548,150.0371241
2023,1,143.0975269,161.4271135
2023,2,124.1095074,152.9672811
2023,3,151.9153854,200.4899363
2023,4,131.3942626,165.4175591
2023,5,160.1657609,205.1764577
2023,6,145.0299491,179.3080436
2023,7,117.7654374,132.7106302
2023,8,88.46603127,76.84422386
2023,9,112.3703507,117.6987774
2023,10,121.6708138,133.594075
2023,11,129.4480864,140.6772042
2023,12,109.7442142,107.001579
2024,1,123.9460098,131.2736786
2024,2,95.61629813,117.446789
2024,3,100.9464508,126.5564819
"Source: 'Measuring Economic Policy Uncertainty' by Scott Baker, Nicholas Bloom and Steven J. Davis at www.PolicyUncertainty.com.  These data can be used freely with attribution to the authors, the paper, and the website.",,,
